task,method_group,method,mean_quality,std_quality,mean_runtime_sec,total_runtime_sec,valid_rate,mean_reference_similarity,mean_changed_edges_ratio,mean_reused_solution_rate,mean_quality_gap_to_baseline,mean_speedup_vs_full_recompute,mean_precision_at_k,mean_recall_at_k,mean_average_precision,mean_subgraph_node_recall,mean_subgraph_edge_recall,gpu_used
MST/MSF,ai_ml,learned_edge_ranking_msf_practical_adaptation,5588.012313315247,154.81856934818984,0.38630769105001833,7.726153821000366,1.0,0.7532422124393464,2551.7836096877027,,0.05344456789197096,0.6126468472365446,,,,,,
MST/MSF,classical,classical_kruskal_full_recompute,5303.807203890084,79.65189945291428,0.2358259629000031,4.716519258000062,1.0,1.0,2551.7836096877027,0.0,0.0,1.0,,,,,,
MST/MSF,dynamic,dynamic_delta_aware_warm_start_msf,5303.807203890084,79.65189945291428,0.20892890729999464,4.178578145999893,1.0,1.0,2551.7836096877027,0.0,0.0,1.4412934542925435,,,,,,
MST/MSF,graph_ai,graph_ai_message_passing_msf,5303.893629805477,79.651070219635,0.4487040848999939,8.974081697999878,1.0,0.9921470770013116,2551.7836096877027,,1.6300597366717507e-05,0.9957360652380876,,,,,,True
MaxCut,ai_ml,learning_augmented_neural_warm_start_maxcut,100642.31144654466,598.8965104673568,0.2982216654999661,5.964433309999322,1.0,0.4970033419250329,2551.7836096877027,,-0.006358401157290685,18.65929888996791,,,,,,True
MaxCut,classical,classical_random_restarts_local_improvement,100006.84617017172,625.2780424029734,5.321139987399943,106.42279974799885,1.0,1.0,2551.7836096877027,0.0,0.0,1.0,,,,,,
MaxCut,dynamic,dynamic_local_search_warm_start,100634.34279617315,599.5891543478363,0.27141920269990577,5.428384053998116,1.0,0.5213927952957775,2551.7836096877027,0.8999324767264895,-0.006277985182450946,20.31910016590937,,,,,,
MaxCut,graph_ai,graph_ai_message_passing_maxcut,99694.60171928955,700.893076856328,0.3740100165500394,7.480200331000788,1.0,0.5043899951569658,2551.7836096877027,,0.0031246148291666207,14.279342545936828,,,,,,True
Shortest Path,ai_ml,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,8.187689806947224,0.32814975712134015,0.38570401359999096,7.714080271999819,0.5,0.41133333333333333,2551.7836096877027,,0.09817690460740401,1.176078878834877,,,,,,
Shortest Path,classical,classical_dijkstra_full_recompute,7.454734594189749,0.26375584013703385,0.45231003744997905,9.046200748999581,0.5,1.0,2551.7836096877027,0.0,0.0,1.0,,,,,,
Shortest Path,dynamic,dynamic_affected_query_path_reuse,7.454734594189749,0.26375584013703385,0.44271338654998543,8.854267730999709,0.5,1.0,2551.7836096877027,0.0,0.0,1.0230084203972454,,,,,,
Shortest Path,graph_ai,graph_ai_message_passing_routing,7.456126301081582,0.2639648066980646,0.44797662449997233,8.959532489999447,0.5,0.9681666666666666,2551.7836096877027,,0.00018598707853404516,1.0745382156555578,,,,,,True
Subgraph Discovery,ai_ml,supervised_suspicious_edge_subgraph_detector,0.6477263130637478,0.19884775617414827,64.70995328309982,1294.1990656619964,1.0,,2551.7836096877027,,-11.022485753133951,,0.2185,0.9139492753623187,0.6477263130637478,1.0,0.9935526315789474,False
Subgraph Discovery,classical,rule_based_suspicious_subgraph_score,0.06627779160672981,0.03225995543562361,0.0010921059501015407,0.021842119002030813,1.0,,2551.7836096877027,,0.0,1.0,0.067,0.2801630434782609,0.06627779160672981,0.9895833333333334,0.9633068382368508,
Subgraph Discovery,dynamic,dynamic_burst_detection_incremental,0.3536734474490421,0.2237389295531103,0.0009236442000656097,0.018472884001312195,1.0,,2551.7836096877027,,-5.702131476267512,1.1885592771069082,0.135,0.5655797101449276,0.3536734474490421,0.98125,0.9665551839464882,
Subgraph Discovery,graph_ai,graph_ai_message_passing_subgraph_discovery,0.14359694522227767,0.08460172873619635,0.09836345395024182,1.9672690790048364,1.0,,2551.7836096877027,,-1.3417312646372266,,0.10200000000000001,0.4265398550724638,0.14359694522227767,0.98125,0.9495222730295758,True
Vertex Cover,ai_ml,primal_dual_neural_node_ranking,4347.9,262.715956280182,103.18588939760016,2063.717787952003,1.0,0.8186889470849259,2551.7836096877027,,-0.03671858097924814,0.00013485824062560732,,,,,,True
Vertex Cover,classical,classical_maximal_matching_2approx,4513.3,38.2637660126864,0.013888834250019499,0.27777668500039,1.0,1.0,2551.7836096877027,0.0,0.0,1.0,,,,,,
Vertex Cover,dynamic,dynamic_matching_cover_repair,3710.9,204.56472402589242,0.06273568144993077,1.2547136289986156,1.0,0.7689623613452167,2551.7836096877027,0.95,-0.1778813405093693,0.26747193796884067,,,,,,
Vertex Cover,graph_ai,graph_ai_message_passing_vertex_cover,4050.05,49.98997267873864,3.619537800899798,72.39075601799595,1.0,0.8093989308512436,2551.7836096877027,,-0.10265084599976797,0.0038439531277352874,,,,,,True
