task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk
Shortest Path,classical_dijkstra_full_recompute,classical,0,7.14426285179375,0.5203823560000274,7.14426285179375,True,,1.0,0.0,1.0,0.0,51016.0,51016,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,0,7.14426285179375,0.534229514999879,7.14426285179375,True,,1.0,0.0,0.9740801310840065,0.0,51016.0,51016,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,0,7.671882759003732,0.42550855799981946,7.671882759003732,True,,0.4633333333333333,0.07385225294132478,1.2229656635960027,,51016.0,51016,,,300.0,,0.16463763387326819
Shortest Path,graph_ai_message_passing_routing,graph_ai,0,7.145464581223849,0.4686630979999791,7.145464581223849,True,,0.9766666666666667,0.00016820901680538196,1.1103548758602082,,51016.0,51016,,True,300.0,,0.15725405971589185
Shortest Path,classical_dijkstra_full_recompute,classical,1,7.0737341409862715,0.4922262799998407,7.0737341409862715,True,,1.0,0.0,1.0,0.0,1.0354753031769235,50292,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,1,7.0737341409862715,0.47875646199986477,7.0737341409862715,True,,1.0,0.0,1.0281350103217608,0.0,1.0354753031769235,50292,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,1,7.648817272862271,0.3942968100000144,7.648817272862271,True,,0.4533333333333333,0.08129838080058477,1.2483648548914783,,1.0354753031769235,50292,,,300.0,,0.1614036034777013
Shortest Path,graph_ai_message_passing_routing,graph_ai,1,7.074386814521584,0.44993850200012275,7.074386814521584,True,,0.98,9.226718481414522e-05,1.09398568429182,,1.0354753031769235,50292,,True,300.0,,0.1551502472668239
Shortest Path,classical_dijkstra_full_recompute,classical,2,7.115032209346807,0.47168606699983684,7.115032209346807,True,,1.0,0.0,1.0,0.0,1.0354133644781847,49646,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,2,7.115032209346807,0.45695778899994366,7.115032209346807,True,,1.0,0.0,1.0322311564753632,0.0,1.0354133644781847,49646,,,300.0,300.0,
