task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges,precision_at_k,recall_at_k,roc_auc,average_precision,subgraph_node_precision,subgraph_node_recall,subgraph_edge_precision,subgraph_edge_recall,n_candidate_nodes,n_candidate_edges
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,0,0.13264673757834372,0.001118883999879472,0.13264673757834372,True,,,0.0,1.0,,51016.0,51016,,,,,,100.0,,,0.06,0.25,0.8490607033025804,0.13264673757834372,0.005449591280653951,1.0,0.0006110745510952337,1.0,4404.0,42548.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,0,0.12906724686971047,0.0008262290011771256,0.12906724686971047,True,,,0.026985139431108418,1.3542056721385982,,51016.0,51016,,,,,,100.0,,,0.05,0.20833333333333334,0.7615657173418906,0.12906724686971047,0.00520597555454957,0.9583333333333334,0.0005857956276214355,0.9615384615384616,4418.0,42677.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,0,0.9523498590504159,0.010209662999841385,0.9523498590504159,True,,,-6.179595038950278,,,51016.0,51016,,False,,,,100.0,,,0.24,1.0,0.9998328653563311,0.9523498590504159,0.005953857603572314,1.0,0.0006890520234277688,1.0,4031.0,37733.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,0,0.3001576873777192,0.11609189699993294,0.3001576873777192,True,,,-1.2628350523919993,,,51016.0,51016,,True,,,,100.0,,,0.15,0.625,0.9827015643802647,0.3001576873777192,0.006097560975609756,1.0,0.0007093940138058989,1.0,3936.0,36651.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,1,0.02163114368950749,0.0011758030013879761,0.02163114368950749,True,,,0.0,1.0,,1.0354753031769235,50292,,,,,,100.0,,,0.01,0.041666666666666664,0.8636492527355217,0.02163114368950749,0.005020538566864446,0.9166666666666666,0.0007662651756423457,0.8421052631578947,4382.0,41761.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,1,0.6060800961846766,0.0008531570001650834,0.6060800961846766,True,,,-27.01886506253781,1.3781789297403193,,1.0354753031769235,50292,,,,,,100.0,,,0.24,1.0,0.9970559781158259,0.6060800961846766,0.008568368439842914,1.0,0.001670990721604151,1.0,2801.0,22741.0
Subgraph Discovery,supervised_suspicious_edge_subgraph_detector,ai_ml,1,0.5366326293831181,7.281258611999874,0.5366326293831181,True,,,-23.80833362701112,,,1.0354753031769235,50292,,False,,,,100.0,,,0.24,1.0,0.9975480384307446,0.5366326293831181,0.007460366801367734,1.0,0.0013911770089694306,1.0,3217.0,27315.0
Subgraph Discovery,graph_ai_message_passing_subgraph_discovery,graph_ai,1,0.13384577001909673,0.10399784699984593,0.13384577001909673,True,,,-5.187641852891052,,,1.0354753031769235,50292,,True,,,,100.0,,,0.13,0.5416666666666666,0.9807929677074994,0.13384577001909673,0.006857142857142857,1.0,0.0011982641362782564,0.9736842105263158,3500.0,30878.0
Subgraph Discovery,rule_based_suspicious_subgraph_score,classical,2,0.06637194877409584,0.0010966259997076122,0.06637194877409584,True,,,0.0,1.0,,1.0354133644781847,49646,,,,,,100.0,,,0.08,0.3333333333333333,0.9575759089093088,0.06637194877409584,0.00530932594644506,0.9583333333333334,0.002065404475043029,0.9655172413793104,4332.0,40670.0
Subgraph Discovery,dynamic_burst_detection_incremental,dynamic,2,0.8753383391773317,0.0008692379997228272,0.8753383391773317,True,,,-12.18837785156258,1.2615946381282133,,1.0354133644781847,49646,,,,,,100.0,,,0.24,1.0,0.9991426954321481,0.8753383391773317,0.009334889148191364,1.0,0.004384638645297853,1.0,2571.0,19842.0
